pred,obs,N,S,rowIndex,mtry,Resample
N,S,0.696,0.304,194,2,Fold08.Rep2
N,S,0.904,0.096,204,2,Fold08.Rep2
S,N,0.496,0.504,5,2,Fold09.Rep2
N,N,0.7,0.3,10,2,Fold09.Rep2
S,N,0.33,0.67,23,2,Fold09.Rep2
S,N,0.03,0.97,28,2,Fold09.Rep2
N,N,0.724,0.276,31,2,Fold09.Rep2
S,N,0.182,0.818,40,2,Fold09.Rep2
N,N,0.866,0.134,56,2,Fold09.Rep2
S,N,0.182,0.818,71,2,Fold09.Rep2
N,N,0.952,0.048,72,2,Fold09.Rep2
S,N,0.496,0.504,88,2,Fold09.Rep2
N,N,0.97,0.03,100,2,Fold09.Rep2
S,S,0.09,0.91,114,2,Fold09.Rep2
N,S,0.952,0.048,127,2,Fold09.Rep2
S,S,0.496,0.504,144,2,Fold09.Rep2
N,S,0.724,0.276,146,2,Fold09.Rep2
N,S,0.724,0.276,169,2,Fold09.Rep2
N,S,0.724,0.276,170,2,Fold09.Rep2
N,S,0.724,0.276,171,2,Fold09.Rep2
N,S,0.542,0.458,172,2,Fold09.Rep2
N,S,0.632,0.368,173,2,Fold09.Rep2
N,S,0.724,0.276,185,2,Fold09.Rep2
N,N,0.554,0.446,1,2,Fold10.Rep2
N,N,0.654,0.346,17,2,Fold10.Rep2
N,N,0.654,0.346,22,2,Fold10.Rep2
N,N,0.51,0.49,46,2,Fold10.Rep2
S,N,0.024,0.976,51,2,Fold10.Rep2
N,N,0.538,0.462,73,2,Fold10.Rep2
N,N,0.902,0.098,86,2,Fold10.Rep2
S,N,0.286,0.714,87,2,Fold10.Rep2
N,N,0.95,0.05,89,2,Fold10.Rep2
N,N,0.786,0.214,101,2,Fold10.Rep2
N,S,0.982,0.018,119,2,Fold10.Rep2
N,S,0.786,0.214,122,2,Fold10.Rep2
N,S,0.786,0.214,126,2,Fold10.Rep2
N,S,0.538,0.462,139,2,Fold10.Rep2
N,S,0.75,0.25,140,2,Fold10.Rep2
S,S,0.262,0.738,156,2,Fold10.Rep2
N,S,0.786,0.214,180,2,Fold10.Rep2
N,S,0.51,0.49,191,2,Fold10.Rep2
S,S,0.262,0.738,200,2,Fold10.Rep2
N,S,0.538,0.462,203,2,Fold10.Rep2
